Date,Open,High,Low,Close,Volume
"Friday, October 14, 1994","1,543.11","1,543.11","1,543.11","1,543.11",0
"Thursday, October 13, 1994","1,556.84","1,556.84","1,556.84","1,556.84",0
"Wednesday, October 12, 1994","1,539.72","1,539.72","1,539.72","1,539.72",0
"Tuesday, October 11, 1994","1,526.73","1,526.73","1,526.73","1,526.73",0
"Monday, October 10, 1994","1,509.49","1,509.49","1,509.49","1,509.49",0
"Friday, October 07, 1994","1,494.19","1,494.19","1,494.19","1,494.19",0
"Thursday, October 06, 1994","1,489.09","1,489.09","1,489.09","1,489.09",0
"Wednesday, October 05, 1994","1,477.82","1,477.82","1,477.82","1,477.82",0
"Tuesday, October 04, 1994","1,497.44","1,497.44","1,497.44","1,497.44",0
"Monday, October 03, 1994","1,490.83","1,490.83","1,490.83","1,490.83",0
"Friday, September 30, 1994","1,510.97","1,510.97","1,510.97","1,510.97",0
"Thursday, September 29, 1994","1,500.09","1,500.09","1,500.09","1,500.09",0
"Wednesday, September 28, 1994","1,519.76","1,519.76","1,519.76","1,519.76",0
"Tuesday, September 27, 1994","1,507.56","1,507.56","1,507.56","1,507.56",0
"Monday, September 26, 1994","1,505.22","1,505.22","1,505.22","1,505.22",0
"Friday, September 23, 1994","1,519.58","1,519.58","1,519.58","1,519.58",0
"Thursday, September 22, 1994","1,517.35","1,517.35","1,517.35","1,517.35",0
"Wednesday, September 21, 1994","1,516.33","1,516.33","1,516.33","1,516.33",0
"Tuesday, September 20, 1994","1,526.22","1,526.22","1,526.22","1,526.22",0
"Monday, September 19, 1994","1,543.64","1,543.64","1,543.64","1,543.64",0
"Friday, September 16, 1994","1,539.71","1,539.71","1,539.71","1,539.71",0
"Thursday, September 15, 1994","1,559.95","1,559.95","1,559.95","1,559.95",0
"Wednesday, September 14, 1994","1,546.37","1,546.37","1,546.37","1,546.37",0
"Tuesday, September 13, 1994","1,566.58","1,566.58","1,566.58","1,566.58",0
"Monday, September 12, 1994","1,572.85","1,572.85","1,572.85","1,572.85",0
